Team,Owner,Flag,MP,W,D,L,GF,GA,GD,Pts,Last32,Last16,QF,SF,Final,Winner
Argentina,Rohit,🇦🇷,2,2,0,0,5,0,5,6,0.0,0.0,0.0,0.0,0.0,0.0
Germany,Rohit,🇩🇪,2,2,0,0,9,2,7,6,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Rohit,🇹🇷,2,0,0,2,0,3,-3,0,0.0,0.0,0.0,0.0,0.0,0.0
Ivory Coast,Rohit,🇨🇮,2,1,0,1,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,Rohit,🇮🇶,2,0,0,2,1,7,-6,0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia & Herzegovina,Rohit,🇧🇦,3,1,1,1,5,6,-1,4,0.0,0.0,0.0,0.0,0.0,0.0
France,Pav,🇫🇷,2,2,0,0,6,1,5,6,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Pav,🇲🇽,3,3,0,0,6,0,6,9,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,Pav,🇰🇷,3,1,0,2,2,3,-1,3,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,Pav,🇨🇿,3,0,1,2,2,6,-4,1,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,Pav,🇵🇾,2,1,0,1,2,4,-2,3,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Pav,🇸🇦,2,0,1,1,1,5,-4,1,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,Muks,🇵🇹,2,1,1,0,6,1,5,4,0.0,0.0,0.0,0.0,0.0,0.0
USA,Muks,🇺🇸,2,2,0,0,6,1,5,6,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Muks,🇦🇹,2,1,0,1,3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Muks,🇨🇦,3,1,1,1,8,3,5,4,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,Muks,🇺🇿,2,0,0,2,1,8,-7,0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,Muks,🇬🇭,2,1,1,0,1,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Maulik,🇧🇷,3,2,1,0,7,1,6,7,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,Maulik,🇺🇾,2,0,2,0,3,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Maulik,🇦🇺,2,1,0,1,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0
Norway,Maulik,🇳🇴,2,2,0,0,7,3,4,6,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,Maulik,🇨🇩,2,0,1,1,1,2,-1,1,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,Maulik,🇨🇻,2,0,2,0,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
England,Kish,🏴,2,1,1,0,4,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Kish,🇭🇷,2,1,0,1,3,4,-1,3,0.0,0.0,0.0,0.0,0.0,0.0
Iran,Kish,🇮🇷,2,0,2,0,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Kish,🇩🇿,2,1,0,1,2,4,-2,3,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,Kish,🏴,3,1,0,2,1,4,-3,3,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,Kish,🇳🇿,2,0,1,1,3,5,-2,1,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,Breij,🇳🇱,2,1,1,0,7,3,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,Breij,🇸🇳,2,0,0,2,3,6,-3,0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,Breij,🇨🇭,3,2,1,0,7,3,4,7,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,Breij,🇪🇬,2,1,1,0,4,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Breij,🇿🇦,3,1,1,1,2,3,-1,4,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Breij,🇭🇹,3,0,0,3,2,8,-6,0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Himal,🇲🇦,3,2,1,0,6,3,3,7,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,Himal,🇧🇪,2,0,2,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0
Japan,Himal,🇯🇵,2,1,1,0,6,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Panama,Himal,🇵🇦,2,0,0,2,0,2,-2,0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,Himal,🇶🇦,3,0,1,2,2,10,-8,1,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,Himal,🇨🇼,2,0,1,1,1,7,-6,1,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Vicky,🇪🇸,2,1,1,0,4,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Vicky,🇨🇴,2,2,0,0,4,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,Vicky,🇪🇨,2,0,1,1,0,1,-1,1,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,Vicky,🇸🇪,2,1,0,1,6,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,Vicky,🇹🇳,2,0,0,2,1,9,-8,0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,Vicky,🇯🇴,2,0,0,2,2,5,-3,0,0.0,0.0,0.0,0.0,0.0,0.0
